"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Richmond County, NY"	"36085"	100	479458	20.9	0.2%
	"Rockland County, NY"	"36087"	35	328868	10.6	0.1%
	"Saratoga County, NY"	"36091"	11	229869	Unreliable	0.0%
	"Schenectady County, NY"	"36093"	33	155565	21.2	0.1%
	"Steuben County, NY"	"36101"	12	96281	Unreliable	0.0%
	"Suffolk County, NY"	"36103"	430	1492953	28.8	0.9%
	"Sullivan County, NY"	"36105"	26	75485	34.4	0.1%
	"Tompkins County, NY"	"36109"	19	104802	Unreliable	0.0%
	"Ulster County, NY"	"36111"	45	179417	25.1	0.1%
	"Westchester County, NY"	"36119"	120	980244	12.2	0.3%
	"Alamance County, NC"	"37001"	34	162391	20.9	0.1%
	"Beaufort County, NC"	"37013"	17	47088	Unreliable	0.0%
	"Brunswick County, NC"	"37019"	44	130897	33.6	0.1%
	"Buncombe County, NC"	"37021"	90	257607	34.9	0.2%
	"Burke County, NC"	"37023"	21	89293	23.5	0.0%
	"Cabarrus County, NC"	"37025"	62	206872	30.0	0.1%
	"Caldwell County, NC"	"37027"	13	81981	Unreliable	0.0%
	"Carteret County, NC"	"37031"	16	68881	Unreliable	0.0%
	"Catawba County, NC"	"37035"	32	157974	20.3	0.1%
	"Columbus County, NC"	"37047"	12	55936	Unreliable	0.0%
	"Craven County, NC"	"37049"	32	102578	31.2	0.1%
	"Cumberland County, NC"	"37051"	82	332546	24.7	0.2%
	"Currituck County, NC"	"37053"	10	26331	Unreliable	0.0%
	"Dare County, NC"	"37055"	11	36099	Unreliable	0.0%
	"Davidson County, NC"	"37057"	48	165466	29.0	0.1%
	"Durham County, NC"	"37063"	37	311640	11.9	0.1%
	"Forsyth County, NC"	"37067"	76	376320	20.2	0.2%
	"Franklin County, NC"	"37069"	10	66168	Unreliable	0.0%
	"Gaston County, NC"	"37071"	48	220182	21.8	0.1%
	"Granville County, NC"	"37077"	11	59557	Unreliable	0.0%
	"Guilford County, NC"	"37081"	98	526953	18.6	0.2%
	"Harnett County, NC"	"37085"	31	132754	23.4	0.1%
	"Haywood County, NC"	"37087"	16	61084	Unreliable	0.0%
